name,longitude,latitude
obs_1,-88.24364,38.39034
obs_2,-84.57128,21.38275
obs_3,-102.50195,43.38399
obs_4,-119.03109,42.49896
obs_5,-86.14268,19.18416
obs_6,-91.93993,36.11684
obs_7,-101.86623,31.32043
obs_8,-93.27140,37.05554
obs_9,-106.12481,43.37895
obs_10,-84.73726,37.10339
obs_11,-91.87639,15.93339
obs_12,-104.87538,29.42696
obs_13,-91.18090,35.42701
obs_14,-107.40814,41.11806
obs_15,-83.92224,38.09689
obs_16,-87.97987,21.26936
obs_17,-82.71409,35.55220
obs_18,-105.29046,32.83349
obs_19,-123.86401,43.25647
obs_20,-103.90674,39.74835
obs_21,-91.18672,36.95817
obs_22,-85.63914,22.27321
obs_23,-84.86825,36.84316
obs_24,-85.02456,39.11592
obs_25,-89.86483,36.48635
obs_26,-102.48403,43.98084
obs_27,-105.02866,42.76885
obs_28,-85.60433,35.90070
obs_29,-93.76303,35.40447
obs_30,-107.28610,30.90896
obs_31,-93.25695,35.33191
obs_32,-104.19224,43.63755
obs_33,-84.42482,35.29148
obs_34,-104.74407,34.44179
obs_35,-106.48998,31.75006
obs_36,-105.13516,32.59560
obs_37,-88.38334,20.07012
obs_38,-104.22607,31.08004
obs_39,-120.12265,45.93013
obs_40,-84.34434,34.98733
obs_41,-101.28425,44.79406
obs_42,-118.74277,43.40328
obs_43,-103.58965,43.83710
obs_44,-103.14368,43.95687
obs_45,-105.93765,43.65165
obs_46,-119.87149,41.67678
obs_47,-118.89865,41.08011
obs_48,-91.00492,21.47243
obs_49,-123.15305,44.01615
obs_50,-123.06659,45.68593
obs_51,-106.76184,32.07937
obs_52,-106.94063,44.81582
obs_53,-106.16676,31.94890
obs_54,-99.41516,41.36122
obs_55,-88.92320,19.33352
obs_56,-102.05600,43.85111
obs_57,-103.40135,34.49803
obs_58,-103.75301,31.79154
obs_59,-106.97208,32.16044
obs_60,-83.77620,35.40182
obs_61,-122.93440,41.29511
obs_62,-94.85330,36.88639
obs_63,-103.94341,42.72449
obs_64,-124.11403,42.87398
obs_65,-79.44281,37.29303
obs_66,-107.22315,31.54541
obs_67,-89.12767,19.78659
obs_68,-84.66030,37.21095
obs_69,-88.28718,20.27584
obs_70,-103.85374,38.68093
obs_71,-104.84909,30.97922
obs_72,-104.48256,44.22111
obs_73,-91.57473,37.34549
obs_74,-79.18159,37.13591
obs_75,-94.72879,35.95892
obs_76,-84.99213,38.34239
obs_77,-82.55841,37.03648
obs_78,-126.01734,44.30597
obs_79,-104.89673,44.17749
obs_80,-83.58870,36.87011
obs_81,-104.47196,30.11929
obs_82,-88.57494,19.57401
obs_83,-104.96685,31.57950
obs_84,-91.77384,36.48972
obs_85,-105.69833,34.23280
obs_86,-88.19177,21.62008
obs_87,-92.14128,36.73537
obs_88,-101.63775,43.48265
obs_89,-102.48302,45.62594
obs_90,-84.19849,39.65155
obs_91,-109.04241,30.77856
obs_92,-107.84824,45.55685
obs_93,-105.94035,31.99998
