name,longitude,latitude
obs_1,-82.57285,37.19500
obs_2,-87.95310,21.34239
obs_3,-84.72605,37.39930
obs_4,-121.98386,44.78354
obs_5,-87.04341,21.96650
obs_6,-102.07790,45.12754
obs_7,-121.56987,44.38323
obs_8,-88.19549,19.75096
obs_9,-104.99803,42.63232
obs_10,-104.45960,43.12854
obs_11,-102.56797,31.85225
obs_12,-84.36989,20.73072
obs_13,-109.05744,31.49869
obs_14,-100.98640,45.08995
obs_15,-93.88159,36.01070
obs_16,-82.10936,38.45224
obs_17,-119.43758,43.81939
obs_18,-83.81612,35.31810
obs_19,-104.74244,33.24698
obs_20,-91.01052,37.71333
obs_21,-83.37577,36.06139
obs_22,-84.30514,36.53768
obs_23,-85.83353,21.14091
obs_24,-86.05835,20.71849
obs_25,-91.90487,34.10222
obs_26,-103.83776,45.03946
obs_27,-82.69503,37.97182
obs_28,-86.21537,20.00060
obs_29,-103.32809,43.98254
obs_30,-103.28426,42.23367
obs_31,-91.18248,19.65569
obs_32,-87.54474,20.54162
obs_33,-84.42647,37.63811
obs_34,-105.80017,43.17039
obs_35,-87.39030,21.18344
obs_36,-103.89634,32.13951
obs_37,-106.10770,44.98684
obs_38,-92.24051,35.92188
obs_39,-83.27117,39.14507
obs_40,-92.67944,37.66177
obs_41,-86.94771,22.18139
obs_42,-102.87415,32.61254
obs_43,-105.15161,33.31022
obs_44,-83.98883,38.38397
obs_45,-87.86248,21.55435
obs_46,-122.13676,44.42586
obs_47,-106.12488,41.76172
obs_48,-85.58719,20.96159
obs_49,-104.93768,44.01424
obs_50,-105.68291,42.90335
obs_51,-91.35352,22.22348
obs_52,-105.42658,42.67629
obs_53,-103.98045,31.35281
obs_54,-91.93393,36.37601
obs_55,-119.33794,44.25711
obs_56,-92.14105,36.17086
obs_57,-84.15023,36.66822
obs_58,-93.60050,37.04202
obs_59,-87.57604,21.69193
obs_60,-89.62783,19.13122
obs_61,-84.85098,39.89707
obs_62,-121.98406,41.92596
obs_63,-83.94776,38.52083
obs_64,-82.59026,36.45089
obs_65,-90.72750,36.87870
obs_66,-119.26343,44.76343
obs_67,-107.08757,30.18076
obs_68,-102.95821,45.65996
obs_69,-104.45112,44.16568
obs_70,-92.21840,37.69607
obs_71,-90.89262,36.32382
obs_72,-90.10386,21.27216
obs_73,-88.48500,19.07196
obs_74,-122.12232,43.06911
obs_75,-104.81626,32.83798
obs_76,-88.12327,21.00322
obs_77,-121.44070,46.15712
obs_78,-91.54230,37.26527
obs_79,-106.27575,43.74173
obs_80,-88.27512,18.82192
obs_81,-94.11773,34.38813
obs_82,-86.00339,21.06265
obs_83,-104.43368,44.89560
obs_84,-106.21357,33.29109
obs_85,-84.94827,37.59523
obs_86,-87.36743,20.49808
obs_87,-83.50013,37.50802
obs_88,-106.07606,33.20401
obs_89,-105.79376,43.13551
obs_90,-85.03025,36.07291
obs_91,-83.82025,38.93900
obs_92,-106.97279,44.17038
obs_93,-107.04684,43.11385
obs_94,-80.22239,38.53965
obs_95,-119.47917,45.34552
obs_96,-119.87594,43.14274
obs_97,-83.56316,36.91719
obs_98,-102.84035,42.97797
obs_99,-104.15173,33.05908
obs_100,-84.29898,38.74282
obs_101,-106.99487,31.49455
obs_102,-122.81298,45.04324
obs_103,-104.82455,42.79282
obs_104,-88.87886,21.97185
obs_105,-83.72492,35.98615
obs_106,-105.68767,30.34389
obs_107,-107.09857,29.95195
obs_108,-120.97017,42.24383
obs_109,-123.47311,42.58132
obs_110,-104.22244,41.43527
obs_111,-96.15265,34.53361
obs_112,-105.76464,43.98887
obs_113,-91.87605,35.96087
obs_114,-90.42578,36.81413
obs_115,-83.10385,37.18084
obs_116,-87.29576,19.07624
obs_117,-91.96097,36.50602
obs_118,-123.86182,44.14630
obs_119,-86.18379,20.30775
obs_120,-87.26575,21.59237
obs_121,-120.83751,42.20042
obs_122,-106.93839,44.85872
obs_123,-87.06290,20.14515
obs_124,-119.50606,42.26112
obs_125,-81.33479,36.95250
obs_126,-93.42467,36.21254
obs_127,-82.82906,37.79480
obs_128,-89.20933,19.54962
obs_129,-89.29140,19.96040
obs_130,-102.00253,43.57673
obs_131,-105.55014,45.22501
obs_132,-107.65622,33.10930
obs_133,-119.71157,42.67269
obs_134,-91.73678,34.22725
obs_135,-105.78472,45.49437
obs_136,-105.52039,32.36522
obs_137,-86.87823,20.39161
obs_138,-103.40136,44.90417
obs_139,-89.80032,20.10355
obs_140,-86.24769,20.55154
obs_141,-122.59751,41.04608
obs_142,-90.69151,35.69645
obs_143,-84.76880,37.22966
obs_144,-84.30722,22.53864
obs_145,-81.60764,37.14582
obs_146,-83.57047,19.58297
obs_147,-106.02926,45.01393
obs_148,-85.64236,36.38337
obs_149,-108.26023,33.11681
obs_150,-81.91716,36.65717
obs_151,-105.76441,43.83551
obs_152,-105.65807,43.04173
obs_153,-86.58204,21.51384
obs_154,-83.34959,36.39101
obs_155,-92.94280,35.69716
obs_156,-105.97213,30.65299
obs_157,-106.44793,32.48994
obs_158,-85.22443,36.44210
obs_159,-92.66359,35.29028
obs_160,-93.36031,35.75537
obs_161,-102.59278,44.76805
obs_162,-105.14620,31.31825
obs_163,-86.34097,20.41117
obs_164,-91.51243,37.04388
obs_165,-106.73470,32.94505
obs_166,-89.83644,35.56407
obs_167,-93.12898,37.41948
obs_168,-82.35063,39.20487
obs_169,-89.14141,20.61344
obs_170,-104.26363,44.33416
obs_171,-103.50967,31.99941
obs_172,-93.37907,38.55806
obs_173,-107.64085,31.38394
obs_174,-123.84007,41.65716
obs_175,-90.92530,36.32074
obs_176,-94.23791,33.92431
obs_177,-80.31893,39.49587
obs_178,-91.18263,34.84887
obs_179,-92.68179,36.48720
obs_180,-82.78628,36.47889
obs_181,-96.89163,35.03985
obs_182,-82.37454,37.05967
obs_183,-106.04222,43.44081
obs_184,-102.97385,43.76338
obs_185,-106.48295,42.96278
obs_186,-106.62952,33.37355
obs_187,-87.66650,21.89387
obs_188,-92.47158,35.74624
obs_189,-106.33447,30.57275
obs_190,-123.08491,45.25768
obs_191,-106.98269,30.72700
obs_192,-91.01932,35.35983
obs_193,-82.06782,37.20850
obs_194,-94.08921,35.65347
obs_195,-106.13928,44.26661
obs_196,-121.06900,44.56161
obs_197,-88.93834,37.98691
obs_198,-106.30679,42.57861
obs_199,-93.29623,35.81128
obs_200,-103.58383,43.28465
obs_201,-105.33248,43.60012
obs_202,-107.27532,44.77347
obs_203,-86.83956,21.34498
obs_204,-87.77759,19.90565
obs_205,-105.08351,33.19815
obs_206,-101.70639,42.32562
obs_207,-85.08863,37.65070
obs_208,-82.18278,36.11985
obs_209,-100.62114,42.22384
obs_210,-81.93253,36.75305
obs_211,-106.24427,31.83426
obs_212,-105.52453,43.85044
obs_213,-122.07384,45.53781
obs_214,-92.60547,36.57471
obs_215,-123.84332,42.65759
obs_216,-93.51525,36.53220
obs_217,-122.89988,43.02104
obs_218,-105.14822,32.18131
obs_219,-83.01625,35.55476
obs_220,-89.22900,35.54779
