name,longitude,latitude
obs_1,-95.40328,36.25462
obs_2,-105.72917,34.66397
obs_3,-90.67360,33.55387
obs_4,-106.81529,44.57117
obs_5,-83.23373,38.02258
obs_6,-105.18517,42.69946
obs_7,-85.90068,34.92586
obs_8,-105.72414,31.13152
obs_9,-108.03031,33.18815
obs_10,-103.23917,43.79941
obs_11,-103.74453,42.80461
obs_12,-87.77620,22.36510
obs_13,-103.70476,45.75107
obs_14,-85.25916,21.58293
obs_15,-105.91491,32.21134
obs_16,-125.85536,44.63956
obs_17,-88.45226,23.87843
obs_18,-103.96645,32.28466
obs_19,-122.77866,44.97086
obs_20,-103.77163,31.07481
obs_21,-91.69612,36.55560
obs_22,-91.24868,35.25453
obs_23,-87.13966,23.24516
obs_24,-108.54040,43.25229
obs_25,-84.45675,21.24161
obs_26,-93.68134,37.33617
obs_27,-104.70177,31.65948
obs_28,-103.27600,44.59703
obs_29,-96.84699,37.27504
obs_30,-86.25583,36.92566
obs_31,-91.64394,35.92791
obs_32,-92.35513,36.29493
obs_33,-88.97338,20.19231
obs_34,-82.86008,36.57380
obs_35,-93.36996,36.90808
obs_36,-87.54061,21.48517
obs_37,-85.69234,37.98080
obs_38,-88.06410,21.38573
obs_39,-84.33090,35.73749
obs_40,-106.18718,32.46520
obs_41,-89.24491,38.21031
obs_42,-89.67712,37.92735
obs_43,-106.55281,42.36329
obs_44,-119.44449,44.27631
obs_45,-119.48428,41.25941
obs_46,-84.73714,22.18809
obs_47,-82.79870,37.01113
obs_48,-108.52828,34.71102
obs_49,-84.66587,36.19974
obs_50,-119.37107,43.33032
obs_51,-101.08748,43.54125
obs_52,-82.78882,39.01232
obs_53,-106.94539,43.55982
obs_54,-120.90765,45.57947
obs_55,-102.77944,44.36890
obs_56,-106.30604,31.08051
obs_57,-106.75270,42.76384
obs_58,-123.51121,44.72523
obs_59,-105.87312,44.50531
obs_60,-122.31953,43.54556
obs_61,-121.09497,41.93953
obs_62,-104.69874,44.68464
obs_63,-105.49145,44.69540
obs_64,-104.90416,43.27253
obs_65,-122.36150,43.24303
obs_66,-121.18231,44.99783
obs_67,-103.46231,41.80360
obs_68,-90.38293,37.91741
obs_69,-123.16092,43.17069
obs_70,-105.63964,31.31527
obs_71,-104.21515,32.19886
obs_72,-103.84743,33.03242
obs_73,-93.37929,34.44505
obs_74,-88.18198,20.15239
obs_75,-104.00816,44.37285
obs_76,-89.34447,22.06167
obs_77,-91.80943,36.90362
obs_78,-92.36477,35.87336
obs_79,-86.58027,38.39627
obs_80,-93.47013,38.22611
obs_81,-87.07167,19.19575
obs_82,-91.81841,34.05605
obs_83,-102.80403,31.11724
obs_84,-92.00955,38.95564
obs_85,-85.32782,36.62708
obs_86,-105.80165,44.43195
obs_87,-104.16647,46.07957
obs_88,-121.33528,44.11159
obs_89,-121.52450,43.00353
obs_90,-88.77702,34.95645
obs_91,-105.81959,31.02996
obs_92,-109.02226,30.73418
obs_93,-85.66383,37.72225
obs_94,-105.59529,41.55763
obs_95,-107.41846,32.56646
obs_96,-123.64919,45.07168
obs_97,-120.82296,45.11600
